epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,96570.3,0.95147,0.88207,1.23924,0.83045,0.86271,0.80327,0.53205,1.11212,0.83708,1.31373,0.0004952,0.0004952,0.0004952
78,97288.4,0.95604,0.88304,1.23916,0.82603,0.84659,0.82754,0.56173,1.08638,0.80667,1.30688,0.0004754,0.0004754,0.0004754
79,98009.8,0.93968,0.88175,1.24077,0.8194,0.85071,0.81453,0.55608,1.07597,0.84747,1.28722,0.0004556,0.0004556,0.0004556
80,98754.3,0.96075,0.90314,1.25473,0.82223,0.84659,0.80918,0.54621,1.09456,0.82431,1.31402,0.0004358,0.0004358,0.0004358
81,99442.8,0.94908,0.88025,1.23912,0.81525,0.87753,0.81518,0.54447,1.09647,0.84756,1.29519,0.000416,0.000416,0.000416
82,101035,0.93418,0.87092,1.23572,0.80442,0.85227,0.80067,0.5378,1.1169,0.83883,1.34707,0.0003962,0.0003962,0.0003962
83,101705,0.94359,0.87279,1.23849,0.84201,0.84788,0.80942,0.54409,1.10176,0.87076,1.32032,0.0003764,0.0003764,0.0003764
84,102469,0.93343,0.85598,1.2345,0.8359,0.84659,0.80296,0.53694,1.10815,0.8643,1.31521,0.0003566,0.0003566,0.0003566
85,103142,0.93256,0.87873,1.24657,0.83606,0.85795,0.82077,0.55579,1.10258,0.83965,1.31209,0.0003368,0.0003368,0.0003368
86,103867,0.91016,0.82766,1.21656,0.82717,0.87019,0.83737,0.56489,1.08586,0.77283,1.30787,0.000317,0.000317,0.000317
87,104569,0.90429,0.86418,1.21482,0.82476,0.86364,0.84098,0.56931,1.0893,0.8117,1.31589,0.0002972,0.0002972,0.0002972
88,105339,0.92207,0.85827,1.23187,0.82605,0.84659,0.81707,0.54566,1.08944,0.82658,1.31979,0.0002774,0.0002774,0.0002774
89,163334,0.89758,0.82428,1.20853,0.85284,0.82955,0.82683,0.55728,1.0599,0.84006,1.27579,0.0002576,0.0002576,0.0002576
90,164197,0.90014,0.83598,1.21362,0.83542,0.89773,0.83755,0.56788,1.0934,0.7757,1.30201,0.0002378,0.0002378,0.0002378
91,165307,0.8481,0.74915,1.23851,0.79428,0.83363,0.78718,0.52258,1.08106,0.8695,1.29431,0.000218,0.000218,0.000218
92,166124,0.82157,0.71519,1.21736,0.80077,0.89064,0.81526,0.55024,1.049,0.82816,1.28341,0.0001982,0.0001982,0.0001982
93,166934,0.80289,0.69389,1.20287,0.80194,0.8972,0.81349,0.54172,1.05416,0.82433,1.27289,0.0001784,0.0001784,0.0001784
94,167664,0.82043,0.71133,1.22738,0.79661,0.85795,0.82226,0.55308,1.05718,0.83987,1.28755,0.0001586,0.0001586,0.0001586
95,168334,0.82223,0.70623,1.22865,0.81454,0.875,0.82205,0.54143,1.07788,0.83548,1.28581,0.0001388,0.0001388,0.0001388
96,169026,0.82126,0.691,1.21661,0.78125,0.89285,0.82519,0.55165,1.06814,0.83172,1.28685,0.000119,0.000119,0.000119
97,169793,0.77705,0.6725,1.19511,0.82371,0.87609,0.83048,0.55062,1.06241,0.81979,1.28538,9.92e-05,9.92e-05,9.92e-05
98,170557,0.77913,0.67193,1.20054,0.79897,0.88636,0.81809,0.54864,1.06856,0.83273,1.2998,7.94e-05,7.94e-05,7.94e-05
99,171292,0.78409,0.68258,1.19189,0.82315,0.86932,0.82005,0.55023,1.06282,0.84146,1.29298,5.96e-05,5.96e-05,5.96e-05
100,172022,0.76178,0.66676,1.18379,0.81198,0.875,0.81956,0.55101,1.05874,0.84065,1.29342,3.98e-05,3.98e-05,3.98e-05
